#t, x, y, z, vx, vy, vz
0.00 -377.45 611.20 -284.49 71.66 -72.68 51.51
71.43 -371.75 605.87 -281.22 74.33 -78.17 55.78
142.86 -366.51 600.49 -277.61 73.43 -77.33 53.30
214.29 -361.23 594.90 -273.67 70.71 -77.97 54.77
285.71 -356.00 589.62 -270.48 71.44 -81.35 52.03
357.14 -351.02 583.94 -266.94 71.32 -83.22 49.72
428.57 -346.20 578.29 -263.63 68.76 -81.65 45.31
500.00 -341.46 572.47 -260.48 68.12 -82.75 42.95
571.43 -336.86 566.62 -257.24 67.54 -82.15 42.10
642.86 -332.02 560.57 -254.04 66.35 -84.94 43.94
714.29 -327.92 554.68 -250.76 59.55 -82.94 42.63
785.71 -324.00 548.74 -247.46 53.60 -80.71 42.85
857.14 -320.42 543.15 -244.52 47.50 -76.20 40.96
928.57 -317.21 537.72 -241.29 44.67 -70.79 38.07
1000.00 -313.92 532.69 -238.34 45.72 -69.07 42.58
1071.43 -311.00 527.85 -234.89 42.16 -63.57 46.23
1142.86 -307.56 523.14 -231.42 45.30 -61.52 47.88
1214.29 -304.32 518.55 -227.53 47.23 -61.25 52.97
1285.71 -300.77 513.95 -223.46 45.98 -59.65 57.62
1357.14 -297.28 509.63 -219.24 50.72 -59.19 58.05
1428.57 -293.30 505.14 -215.00 52.61 -60.95 62.01
1500.00 -289.12 500.62 -210.50 56.99 -61.52 62.56
1571.43 -284.83 496.05 -205.88 57.97 -62.23 63.48
1642.86 -280.53 491.64 -201.41 62.26 -63.74 65.11
1714.29 -275.63 486.97 -196.96 69.58 -67.98 66.81
1785.71 -270.38 482.06 -192.16 73.63 -69.50 68.84
1857.14 -265.04 477.12 -187.29 76.36 -72.56 70.77
1928.57 -259.47 472.12 -182.30 78.36 -72.53 73.05
2000.00 -253.93 466.84 -177.19 78.57 -74.15 73.25
2071.43 -248.19 461.47 -172.15 81.34 -78.95 74.28
2142.86 -242.39 455.83 -166.82 83.05 -81.58 76.43
2214.29 -236.40 450.19 -161.77 86.06 -82.45 73.72
2285.71 -230.18 444.39 -156.59 90.18 -83.96 71.43
2357.14 -223.67 438.32 -151.46 94.24 -89.12 72.11
2428.57 -217.36 431.83 -146.14 91.20 -92.82 71.76
2500.00 -211.05 425.26 -140.92 92.99 -95.69 73.24
2571.43 -204.65 418.49 -135.59 94.62 -97.07 73.34
2642.86 -198.07 411.60 -130.38 94.01 -97.74 73.07
2714.29 -191.32 404.44 -124.90 94.67 -99.74 72.92
2785.71 -184.62 397.20 -119.34 95.20 -102.31 76.38
2857.14 -178.00 389.83 -113.68 97.27 -103.99 76.38
2928.57 -171.25 382.36 -108.11 97.29 -105.26 75.27
3000.00 -164.28 374.48 -102.39 97.81 -110.59 77.71
3071.43 -157.31 366.41 -96.57 99.40 -111.99 80.47
3142.86 -149.80 357.92 -90.49 102.67 -118.14 81.37
3214.29 -142.72 349.34 -84.38 104.38 -120.47 80.28
3285.71 -135.05 340.35 -78.38 108.87 -129.23 84.92
3357.14 -127.30 330.54 -71.68 111.29 -134.58 87.51
3428.57 -119.24 320.65 -65.45 114.61 -143.98 85.88
3500.00 -110.72 309.67 -59.10 119.11 -157.81 86.79
3571.43 -102.25 297.81 -52.69 115.94 -168.82 89.75
3642.86 -93.48 285.10 -46.37 120.51 -181.86 86.92
3714.29 -84.65 271.42 -40.34 121.51 -198.91 81.88
3785.71 -75.63 256.24 -35.04 123.40 -227.37 71.20
3857.14 -66.63 238.99 -30.63 121.22 -259.24 53.10
3928.57 -58.33 218.98 -28.35 95.82 -299.99 13.83
4000.00 -53.40 197.79 -30.09 44.46 -286.76 -52.58
4071.43 -51.61 179.72 -35.09 18.23 -232.54 -68.86
4142.86 -50.76 165.11 -39.70 19.91 -185.94 -59.14
4214.29 -49.65 153.23 -43.46 25.92 -159.30 -41.88
4285.71 -48.06 142.68 -45.84 26.74 -136.00 -25.38
4357.14 -46.87 133.72 -46.92 24.73 -114.81 -14.58
4428.57 -45.52 126.20 -47.81 21.88 -99.79 -4.41
4500.00 -44.34 119.64 -47.96 22.70 -82.90 0.44
4571.43 -43.27 114.23 -47.91 18.68 -67.31 4.64
4642.86 -42.03 109.85 -47.51 18.06 -54.89 8.24
4714.29 -41.18 106.17 -46.48 17.76 -43.24 12.03
4785.71 -40.32 103.54 -45.52 15.39 -32.22 13.05
4857.14 -39.23 101.43 -44.44 18.41 -21.37 14.73
4928.57 -38.19 100.14 -43.19 18.23 -10.48 15.80
5000.00 -36.85 99.58 -41.79 19.89 -2.68 20.01
5071.43 -35.43 99.54 -40.01 20.63 6.20 22.64
5142.86 -33.77 100.17 -38.23 23.15 14.80 26.60
5214.29 -31.82 101.25 -36.05 25.94 20.76 32.63
5285.71 -29.68 102.85 -33.53 25.54 29.07 37.33
5357.14 -27.43 105.31 -30.87 29.26 37.81 41.60
5428.57 -25.02 108.47 -27.94 34.00 48.38 45.69
5500.00 -22.29 112.23 -24.84 38.03 55.25 52.48
5571.43 -19.31 116.85 -21.12 45.10 68.88 60.14
5642.86 -16.02 122.53 -16.65 49.74 85.87 69.91
5714.29 -12.43 129.52 -11.41 60.58 109.28 81.60
5785.71 -7.62 138.81 -5.19 81.19 145.68 100.71
5857.14 1.30 151.02 3.56 195.09 144.72 140.52
5928.57 12.80 155.80 9.84 119.84 12.17 76.54
6000.00 19.33 155.81 13.36 45.36 -10.17 44.56
6071.43 22.15 154.17 16.11 4.76 -20.71 21.75
6142.86 21.63 151.22 16.87 -16.52 -49.14 4.68
6214.29 19.72 145.71 16.14 -49.62 -113.23 -28.90
6285.71 20.14 140.02 14.58 54.22 -3.32 30.73
6357.14 23.90 140.06 17.97 35.39 -5.32 39.22
6428.57 26.22 138.82 20.10 29.55 -26.72 33.15
6500.00 29.14 136.34 21.75 36.63 -34.73 33.25
6571.43 31.85 134.44 24.24 38.13 -25.96 46.65
6642.86 33.60 132.94 27.32 40.70 -26.48 40.64
