#t x y z vx vy vz
0.000000000000000000e+00 -9.903984267163320965e+01 -1.196833395681046568e+02 -1.278256128825946121e+02 -2.738383025443023655e+01 1.747473165008897524e+02 9.103784914403360062e+01
3.153600000000000000e+15 -1.014222571535100883e+02 -1.013649592488997797e+02 -1.180428019548841263e+02 -1.923820777506155366e+01 1.837294432642060258e+02 1.004043144998559569e+02
6.307200000000000000e+15 -1.028177602095039873e+02 -8.207503877040312545e+01 -1.072423808041310878e+02 -8.070724840040620407e+00 1.937596179279681508e+02 1.109517066523684292e+02
9.460800000000000000e+15 -1.028432233370488404e+02 -6.171368411549340749e+01 -9.530733225705674272e+01 7.572430815312101160e+00 2.046965945717626596e+02 1.226081090213370288e+02
1.261440000000000000e+16 -1.009311692365582900e+02 -4.022408958305659610e+01 -8.215448152122773706e+01 2.984501256644902156e+01 2.158384135685226681e+02 1.347831685530656500e+02
1.576800000000000000e+16 -9.626765417295671057e+01 -1.769132506363839141e+01 -6.782844539678779938e+01 6.141642758188896778e+01 2.251106372055013765e+02 1.455664541034123260e+02
1.892160000000000000e+16 -8.784048280048547497e+01 5.458136358460986770e+00 -5.269878348422911074e+01 1.034969018144617365e+02 2.279067025535781852e+02 1.505095135447382972e+02
2.207520000000000000e+16 -7.488434336850887973e+01 2.825763806569016623e+01 -3.771636275128965110e+01 1.500448852708582876e+02 2.182621919582181533e+02 1.426850562912620433e+02
2.522880000000000000e+16 -5.764153276186593189e+01 4.944556773364635660e+01 -2.416275832625157349e+01 1.873837938920212309e+02 1.963694643971599305e+02 1.225486659462729619e+02
2.838240000000000000e+16 -3.741099148863842316e+01 6.817868651664693402e+01 -1.290395652681501026e+01 2.085125002971267634e+02 1.702234114251816663e+02 9.777751560309206980e+01
3.153600000000000000e+16 -1.567480709476634360e+01 8.435184145016418711e+01 -4.085299594962465974e+00 2.168480837389469968e+02 1.462729203857624611e+02 7.479688821012229027e+01
3.468960000000000000e+16 6.538087211741700600e+00 9.828651462441413855e+01 2.578783109202427148e+00 2.178413504384508599e+02 1.264180272224017898e+02 5.561413792689489810e+01
3.784320000000000000e+16 2.866362614159557154e+01 1.103878686831218516e+02 7.468192370554432635e+00 2.151386055085917803e+02 1.103962607301057233e+02 4.006787973147613968e+01
4.099680000000000000e+16 5.042489198285139196e+01 1.210087998361644424e+02 1.091921850464446564e+01 2.107128033619743235e+02 9.744727778619312630e+01 2.746607495535162258e+01
4.415040000000000000e+16 7.169721261686669322e+01 1.304269870990767686e+02 1.319861311041496243e+01 2.055703199647821293e+02 8.685947827182565106e+01 1.713994251257881274e+01
