#t, x, y, z, vx, vy, vz
0.00 -1.53 2.85 -1.46 -0.40 3.19 -0.43
71.43 -1.60 2.98 -1.48 -1.43 7.43 -0.36
142.86 -1.80 3.15 -1.56 -3.47 8.87 -0.93
214.29 -2.24 3.44 -1.60 -2.80 8.03 0.07
285.71 -2.47 3.81 -1.57 -4.25 8.18 -0.19
357.14 -2.87 4.18 -1.53 -6.54 7.79 0.59
428.57 -3.33 4.85 -1.65 -8.76 12.79 -2.30
500.00 -3.65 5.47 -1.81 -4.82 10.99 -2.80
571.43 -3.82 6.07 -2.01 -3.30 7.07 -1.93
642.86 -4.02 6.65 -2.16 -5.02 4.54 -1.81
714.29 -4.13 7.07 -2.22 -7.62 6.03 -0.90
785.71 -4.57 7.71 -2.56 -8.08 9.65 -6.52
857.14 -5.27 8.46 -3.18 -9.52 7.13 -9.65
928.57 -6.02 9.25 -3.73 -11.34 11.10 -9.23
1000.00 -6.72 10.03 -4.33 -6.57 10.72 -7.74
1071.43 -7.11 10.97 -4.87 -4.25 11.07 -8.51
1142.86 -7.33 12.18 -5.68 -4.65 16.39 -10.65
1214.29 -7.67 13.32 -6.45 -7.65 14.20 -11.16
1285.71 -8.29 14.42 -7.19 -9.41 15.07 -10.92
1357.14 -9.05 15.50 -7.97 -12.16 17.41 -11.25
1428.57 -10.07 16.86 -8.91 -11.78 14.58 -13.51
1500.00 -10.97 18.22 -9.94 -13.32 22.50 -14.83
1571.43 -11.55 19.78 -10.95 -10.98 24.01 -15.71
1642.86 -12.29 21.51 -11.83 -13.87 25.73 -12.70
1714.29 -13.17 23.22 -12.77 -12.28 26.93 -14.23
1785.71 -14.16 25.08 -13.77 -14.58 25.02 -15.65
1857.14 -15.26 26.91 -14.86 -18.82 27.28 -15.17
1928.57 -16.75 29.27 -15.80 -24.22 30.06 -15.03
2000.00 -18.22 31.77 -16.96 -22.37 34.86 -15.28
2071.43 -19.79 34.34 -18.06 -21.97 39.65 -16.55
2142.86 -21.36 37.13 -19.23 -17.64 40.57 -15.54
2214.29 -22.68 40.13 -20.45 -18.71 39.09 -19.07
2285.71 -24.25 43.03 -21.86 -23.01 38.80 -19.19
2357.14 -25.95 45.92 -23.15 -24.71 44.05 -19.26
2428.57 -27.69 49.04 -24.47 -24.13 44.23 -19.48
2500.00 -29.43 52.19 -25.90 -24.63 49.87 -20.18
2571.43 -31.20 55.90 -27.40 -25.09 54.72 -21.94
2642.86 -33.04 59.67 -28.77 -26.32 54.18 -19.37
2714.29 -34.95 63.69 -30.29 -26.50 55.50 -22.13
2785.71 -36.80 67.73 -31.89 -28.30 57.83 -24.11
2857.14 -38.89 72.00 -33.61 -31.87 63.05 -23.88
2928.57 -41.01 76.47 -35.39 -31.73 65.79 -27.91
3000.00 -43.14 81.57 -37.46 -31.51 72.69 -28.36
3071.43 -45.20 86.98 -39.46 -34.04 79.64 -28.07
3142.86 -47.39 93.01 -41.54 -34.42 81.27 -30.32
3214.29 -49.80 99.25 -43.71 -36.47 83.54 -30.27
3285.71 -52.51 105.51 -45.73 -39.94 89.70 -30.47
3357.14 -55.41 112.48 -47.94 -42.93 97.20 -31.60
3428.57 -58.65 120.08 -50.17 -42.53 110.84 -30.47
3500.00 -61.71 128.37 -52.30 -40.12 120.62 -30.22
3571.43 -64.77 137.46 -54.38 -42.19 132.84 -28.11
3642.86 -67.99 147.50 -56.33 -43.30 149.54 -27.66
3714.29 -70.98 158.98 -58.06 -42.92 171.38 -21.10
3785.71 -74.07 171.88 -59.22 -43.42 191.89 -10.85
3857.14 -76.98 186.65 -59.33 -36.59 227.46 10.36
3928.57 -78.74 204.20 -57.23 -5.88 264.79 57.15
4000.00 -76.83 222.99 -50.45 57.09 245.73 129.50
4071.43 -71.23 238.39 -40.16 91.64 182.86 148.35
4142.86 -64.59 249.37 -30.14 84.83 125.39 128.87
4214.29 -58.77 257.19 -21.88 74.94 89.17 103.61
4285.71 -53.68 262.80 -15.15 67.70 65.20 86.24
4357.14 -49.00 266.79 -9.68 63.65 44.68 71.09
4428.57 -44.61 269.12 -4.98 62.36 26.23 62.93
4500.00 -40.64 270.25 -0.91 59.00 8.90 52.78
4571.43 -36.64 270.37 2.69 53.76 -5.75 49.88
4642.86 -32.86 269.49 5.99 52.16 -16.96 43.29
4714.29 -29.17 267.78 8.88 52.09 -28.26 37.61
4785.71 -25.54 265.30 11.38 50.84 -39.81 32.67
4857.14 -21.90 261.89 13.67 49.44 -51.11 29.85
4928.57 -18.53 257.88 15.79 44.63 -60.37 25.83
5000.00 -15.49 253.14 17.56 42.40 -70.80 21.30
5071.43 -12.61 247.69 18.93 36.23 -80.12 14.51
5142.86 -9.74 241.71 19.74 36.02 -88.63 5.09
