#t, r200, qr200
0.00 211.00 52.75
142.86 210.40 52.60
285.71 211.30 52.82
428.57 211.30 52.82
571.43 211.80 52.95
714.29 211.50 52.87
857.14 211.80 52.95
1000.00 211.80 52.95
1142.86 211.40 52.85
1285.71 212.80 53.20
1428.57 213.00 53.25
1571.43 214.10 53.52
1714.29 213.80 53.45
1857.14 213.90 53.47
2000.00 214.20 53.55
2142.86 213.10 53.27
2285.71 212.80 53.20
2428.57 213.00 53.25
2571.43 213.10 53.27
2714.29 212.50 53.12
2857.14 212.00 53.00
3000.00 212.00 53.00
3142.86 212.20 53.05
3285.71 211.00 52.75
3428.57 211.30 52.82
3571.43 212.00 53.00
3714.29 212.90 53.22
3857.14 214.50 53.62
4000.00 215.00 53.75
4142.86 216.60 54.15
4285.71 217.80 54.45
4428.57 219.30 54.82
4571.43 219.30 54.82
4714.29 219.30 54.82
4857.14 216.70 54.17
5000.00 213.00 53.25
5142.86 207.20 51.80
5285.71 201.80 50.45
5428.57 195.10 48.77
5571.43 190.70 47.67
5714.29 189.50 47.37
5857.14 186.60 46.65
6000.00 185.20 46.30
6142.86 185.00 46.25
6285.71 183.80 45.95
6428.57 181.80 45.45
6571.43 180.40 45.10
6714.29 179.80 44.95
6857.14 177.90 44.47
7000.00 176.20 44.05
7142.86 177.40 44.35
7285.71 177.00 44.25
7428.57 177.10 44.27
7571.43 177.50 44.37
7714.29 177.60 44.40
7857.14 177.50 44.37
8000.00 177.60 44.40
8142.86 178.20 44.55
8285.71 178.60 44.65
8428.57 178.30 44.57
8571.43 178.50 44.62
8714.29 179.90 44.97
8857.14 181.20 45.30
9000.00 179.60 44.90
9142.86 181.50 45.37
9285.71 181.00 45.25
9428.57 181.70 45.42
9571.43 181.40 45.35
9714.29 182.30 45.57
9857.14 183.20 45.80
10000.00 187.70 46.92
10142.90 182.20 45.55
10285.70 186.90 46.72
10428.60 183.60 45.90
10571.40 189.00 47.25
10714.30 188.20 47.05
10857.10 181.30 45.32
11000.00 187.40 46.85
11142.90 187.50 46.87
11285.70 187.80 46.95
11428.60 181.90 45.47
