#t, r200, qr200
0.00 50.10 12.53
142.86 50.10 12.53
285.71 50.10 12.53
428.57 50.10 12.53
571.43 50.10 12.53
714.28 50.10 12.53
857.14 50.10 12.53
1000.00 50.10 12.53
1142.86 50.10 12.53
1285.71 50.10 12.53
1428.57 50.10 12.53
1571.43 50.10 12.53
1714.28 50.10 12.53
1857.14 50.10 12.53
2000.00 50.10 12.53
2142.86 50.10 12.53
2285.71 50.10 12.53
2428.57 50.10 12.53
2571.43 50.10 12.53
2714.28 50.10 12.53
2857.14 50.10 12.53
3000.00 270.10 67.52
3142.85 273.00 68.25
3285.71 274.20 68.55
3428.57 277.30 69.32
3571.43 278.80 69.70
3714.28 280.10 70.02
3857.14 282.10 70.52
4000.00 281.90 70.47
4142.85 282.80 70.70
4285.71 283.90 70.97
4428.57 284.20 71.05
4571.42 284.50 71.12
4714.28 284.10 71.02
4857.14 281.90 70.47
4999.99 278.50 69.62
5142.85 272.60 68.15
5285.71 267.80 66.95
5428.57 263.00 65.75
5571.42 257.50 64.37
5714.28 254.90 63.72
5857.14 251.90 62.97
5999.99 249.40 62.35
6142.85 249.30 62.32
6285.71 247.60 61.90
6428.56 246.30 61.57
6571.42 245.70 61.42
6714.28 246.40 61.60
6857.14 245.90 61.47
6999.99 244.70 61.17
7142.85 245.20 61.30
7285.71 244.80 61.20
7428.56 244.30 61.07
7571.42 244.90 61.22
7714.28 245.10 61.27
7857.14 245.40 61.35
7999.99 245.10 61.27
8142.85 245.60 61.40
8285.71 246.20 61.55
8428.56 246.90 61.72
8571.42 246.80 61.70
8714.28 248.00 62.00
8857.13 247.90 61.97
8999.99 247.60 61.90
9142.85 248.50 62.12
9285.70 248.40 62.10
9428.56 249.00 62.25
9571.42 248.90 62.22
9714.28 250.30 62.57
9857.13 249.80 62.45
9999.99 251.10 62.77
10142.85 250.60 62.65
10285.70 250.30 62.57
10428.56 250.50 62.62
10571.42 251.50 62.87
10714.27 252.40 63.10
10857.13 251.20 62.80
10999.99 251.30 62.82
11142.85 251.30 62.82
11285.70 251.90 62.97
11428.56 251.30 62.82
