#t, r200, qr200
0.00 213.90 53.47
285.71 213.60 53.40
571.43 212.70 53.17
857.14 213.50 53.37
1142.86 213.50 53.37
1428.57 212.20 53.05
1714.29 213.90 53.47
2000.00 213.60 53.40
2285.71 213.70 53.42
2571.43 213.60 53.40
2857.14 214.20 53.55
3142.86 213.60 53.40
3428.57 214.60 53.65
3714.29 214.50 53.62
4000.00 217.40 54.35
4285.71 220.10 55.02
4571.43 220.90 55.22
4857.14 210.50 52.62
5142.86 201.90 50.47
5428.57 194.10 48.52
5714.29 184.20 46.05
6000.00 182.40 45.60
6285.71 182.30 45.57
6571.43 178.70 44.67
6857.14 175.70 43.92
7142.86 174.30 43.57
7428.57 174.00 43.50
7714.29 175.10 43.77
8000.00 174.70 43.67
8285.71 174.50 43.62
8571.43 174.70 43.67
8857.14 177.00 44.25
9142.86 177.60 44.40
9428.57 180.20 45.05
9714.29 185.80 46.45
10000.00 183.00 45.75
10285.70 178.90 44.72
10571.40 177.70 44.42
10857.10 177.90 44.47
11142.90 177.50 44.37
11428.60 177.90 44.47
