#t, spin, Lx, Ly, Lz
0.0000 0.0029 -0.9867 -0.0807 0.1412
142.8570 0.0032 0.9210 -0.2069 0.3299
285.7140 0.0014 -0.4463 -0.7842 -0.4310
428.5710 0.0026 -0.6892 0.5112 -0.5135
571.4280 0.0032 0.4407 0.8970 -0.0346
714.2850 0.0031 -0.1711 -0.4775 -0.8618
857.1420 0.0052 -0.4880 0.7758 -0.4000
999.9990 0.0021 -0.5681 0.8207 0.0608
1142.8560 0.0044 -0.5594 -0.5897 -0.5825
1285.7130 0.0035 -0.2607 -0.5921 -0.7625
1428.5700 0.0034 -0.9441 0.3134 -0.1026
1571.4270 0.0031 0.1861 0.6913 0.6982
1714.2840 0.0051 -0.1509 0.5300 -0.8344
1857.1410 0.0034 -0.1427 0.8829 0.4473
1999.9980 0.0028 -0.8455 -0.5233 -0.1060
2142.8550 0.0032 -0.0752 0.2510 -0.9651
2285.7120 0.0040 0.0245 -0.5924 -0.8053
2428.5690 0.0093 -0.6607 -0.4803 -0.5769
2571.4260 0.0023 0.7754 -0.2220 -0.5912
2714.2830 0.0074 -0.2183 -0.2778 -0.9355
2857.1400 0.0036 0.1185 -0.7530 -0.6472
2999.9970 0.0026 -0.0563 -0.3531 -0.9339
3142.8540 0.0030 0.5269 -0.0398 -0.8490
3285.7110 0.0041 -0.0861 0.4914 -0.8667
3428.5680 0.0032 0.8272 -0.0867 -0.5553
3571.4250 0.0046 0.4208 0.4091 -0.8097
3714.2820 0.0064 -0.1718 -0.4244 -0.8890
3857.1390 0.0043 0.0430 -0.5457 -0.8368
3999.9960 0.0502 -0.9450 -0.0042 0.3272
4142.8530 0.0112 -0.6795 0.1955 -0.7072
4285.7100 0.0390 0.6126 0.2120 -0.7614
4428.5670 0.0675 0.8280 0.1876 -0.5284
4571.4240 0.0366 0.7542 0.3002 -0.5840
4714.2810 0.0505 0.9963 0.0166 0.0841
4857.1380 0.0477 0.8657 0.2829 -0.4129
4999.9950 0.0845 0.8137 0.1337 -0.5657
5142.8520 0.0672 0.6423 0.4579 -0.6146
5285.7090 0.0915 0.6940 0.1441 -0.7055
5428.5660 0.0330 0.6752 0.4329 -0.5972
5571.4230 0.0497 0.6459 0.4372 -0.6259
5714.2800 0.0710 0.7863 0.5291 -0.3189
5857.1370 0.1548 0.5188 0.1467 -0.8422
5999.9940 0.1445 0.5818 0.1973 -0.7890
6142.8510 0.2301 0.5007 0.1513 -0.8523
6285.7080 0.2211 0.8738 0.2831 -0.3954
6428.5650 0.2713 0.4934 0.1440 -0.8578
6571.4220 0.2182 0.0686 0.0382 -0.9969
6714.2790 0.1056 0.2469 0.0731 -0.9663
6857.1360 0.2140 0.8195 0.2389 -0.5209
6999.9930 0.2795 0.7868 0.2363 -0.5701
7142.8500 0.1192 0.0536 0.0466 -0.9975
7285.7070 0.1307 0.7001 0.2307 -0.6757
7428.5640 0.0950 0.4720 0.1027 -0.8756
7571.4210 0.1907 0.9293 0.3463 -0.1283
7714.2780 0.1662 0.7540 0.2220 -0.6182
7857.1350 0.2187 0.4725 0.1246 -0.8725
7999.9920 0.2235 0.8157 0.2325 -0.5297
8142.8490 0.1091 0.5235 0.1766 -0.8335
8285.7060 0.1065 0.5893 0.2044 -0.7816
8428.5630 0.0259 0.6697 0.4576 0.5849
8571.4200 0.2025 0.5837 0.1662 -0.7948
8714.2770 0.2092 0.9555 0.2151 -0.2020
8857.1340 0.1456 0.3280 0.1138 -0.9378
8999.9910 0.0615 -0.5737 0.0510 -0.8175
9142.8480 0.0966 0.9073 0.3382 0.2500
9285.7050 0.1735 -0.4404 -0.0412 -0.8968
9428.5620 0.1114 0.4140 0.1830 -0.8917
9571.4190 0.2085 0.4486 0.1806 -0.8753
9714.2760 0.2874 0.6310 0.2261 -0.7422
9857.1330 0.1609 0.9154 0.3712 -0.1557
9999.9900 0.0846 0.5868 0.2482 -0.7707
10142.8470 0.2522 0.9455 0.3125 -0.0914
10285.7040 0.0683 0.6670 0.2174 -0.7127
10428.5610 0.1029 0.7811 0.3006 -0.5473
10571.4180 0.0672 0.4359 0.1955 -0.8785
10714.2750 0.0780 0.6482 0.2394 -0.7229
10857.1320 0.3097 0.5774 0.1935 -0.7932
10999.9890 0.0653 0.4407 0.2216 -0.8699
11142.8460 0.0784 0.5865 0.2229 -0.7786
11285.7030 0.0835 0.6276 0.2082 -0.7502
11428.5600 0.2078 0.7468 0.2352 -0.6220
