#t, spin, Lx, Ly, Lz
0.0000 nan nan nan nan
142.8570 nan nan nan nan
285.7140 nan nan nan nan
428.5710 nan nan nan nan
571.4280 nan nan nan nan
714.2850 0.6284 -0.2921 -0.8524 -0.4337
857.1420 nan nan nan nan
999.9990 2.1566 -0.3447 -0.8794 -0.3285
1142.8560 1.2880 -0.8064 0.3263 0.4932
1285.7130 3.3395 -0.9747 0.1113 0.1939
1428.5700 nan nan nan nan
1571.4270 1.5276 0.0084 -0.5270 -0.8498
1714.2840 nan nan nan nan
1857.1410 nan nan nan nan
1999.9980 nan nan nan nan
2142.8550 nan nan nan nan
2285.7120 0.7077 0.5411 0.7525 0.3755
2428.5690 0.3203 0.5566 0.5775 0.5972
2571.4260 0.3323 -0.5524 -0.8108 0.1936
2714.2830 nan nan nan nan
2857.1400 0.2928 0.4622 0.4022 -0.7903
2999.9970 0.0722 0.7251 0.1401 -0.6742
3142.8540 0.0646 0.8043 0.1862 -0.5643
3285.7110 0.0628 0.7771 0.1570 -0.6095
3428.5680 0.0721 0.7723 0.2156 -0.5975
3571.4250 0.0711 0.7753 0.2084 -0.5962
3714.2820 0.0671 0.7560 0.1465 -0.6379
3857.1390 0.0650 0.7857 0.1767 -0.5928
3999.9960 0.0709 0.7657 0.1931 -0.6135
4142.8530 0.0766 0.7503 0.1788 -0.6364
4285.7100 0.0697 0.7025 0.1550 -0.6946
4428.5670 0.0700 0.7491 0.1878 -0.6353
4571.4240 0.0690 0.7481 0.1707 -0.6412
4714.2810 0.0733 0.7499 0.1878 -0.6343
4857.1380 0.0736 0.7565 0.1977 -0.6234
4999.9950 0.0653 0.7502 0.1858 -0.6346
5142.8520 0.0601 0.6933 0.1670 -0.7011
5285.7090 0.0576 0.7269 0.2092 -0.6541
5428.5660 0.0580 0.6847 0.1549 -0.7122
5571.4230 0.0586 0.6758 0.2351 -0.6986
5714.2800 0.0542 0.6908 0.1820 -0.6997
5857.1370 0.0539 0.6827 0.1602 -0.7129
5999.9940 0.0498 0.6697 0.2472 -0.7003
6142.8510 0.0528 0.6392 0.2111 -0.7395
6285.7080 0.0518 0.6623 0.2180 -0.7168
6428.5650 0.0526 0.6562 0.2113 -0.7244
6571.4220 0.0523 0.6317 0.1814 -0.7537
6714.2790 0.0501 0.6360 0.1703 -0.7526
6857.1360 0.0494 0.6642 0.1780 -0.7260
6999.9930 0.0525 0.6472 0.2413 -0.7231
7142.8500 0.0543 0.6619 0.1936 -0.7242
7285.7070 0.0516 0.6933 0.1967 -0.6933
7428.5640 0.0526 0.6476 0.1734 -0.7420
7571.4210 0.0511 0.6579 0.1726 -0.7331
7714.2780 0.0519 0.6990 0.2239 -0.6792
7857.1350 0.0520 0.6679 0.1918 -0.7191
7999.9920 0.0513 0.6620 0.1819 -0.7271
8142.8490 0.0535 0.6711 0.1881 -0.7171
8285.7060 0.0521 0.6751 0.1987 -0.7104
8428.5630 0.0510 0.6525 0.1907 -0.7334
8571.4200 0.0521 0.6648 0.1654 -0.7284
8714.2770 0.0538 0.6455 0.2242 -0.7302
8857.1340 0.0539 0.6650 0.1545 -0.7307
8999.9910 0.0553 0.6749 0.2183 -0.7049
9142.8480 0.0527 0.6582 0.1997 -0.7259
9285.7050 0.0517 0.6778 0.1792 -0.7131
9428.5620 0.0529 0.6623 0.1834 -0.7264
9571.4190 0.0526 0.6520 0.1443 -0.7444
9714.2760 0.0540 0.6295 0.1870 -0.7542
9857.1330 0.0534 0.6494 0.2073 -0.7316
9999.9900 0.0545 0.6748 0.1782 -0.7162
10142.8470 0.0539 0.6749 0.1913 -0.7127
10285.7040 0.0545 0.6782 0.1864 -0.7108
10428.5610 0.0519 0.6805 0.1612 -0.7148
10571.4180 0.0534 0.6906 0.2037 -0.6940
10714.2750 0.0514 0.6381 0.1995 -0.7436
10857.1320 0.0558 0.6606 0.2131 -0.7199
10999.9890 0.0534 0.6584 0.2067 -0.7237
11142.8460 0.0557 0.6607 0.1259 -0.7400
11285.7030 0.0550 0.6626 0.1716 -0.7290
11428.5600 0.0556 0.6872 0.1578 -0.7091
