#t, spin, Lx, Ly, Lz
0.0000 0.0035 -0.8460 -0.0741 -0.5281
142.8570 0.0020 -0.6814 -0.7277 0.0779
285.7140 0.0016 0.8709 -0.0692 0.4866
428.5710 0.0035 -0.1073 0.5673 -0.8165
571.4280 0.0039 0.5496 0.7445 -0.3791
714.2850 0.0026 -0.3087 0.9351 0.1741
857.1420 0.0027 0.1931 -0.5949 -0.7803
999.9990 0.0043 0.4063 0.9123 -0.0514
1142.8560 0.0016 -0.1203 -0.9785 -0.1677
1285.7130 0.0033 0.2055 0.7348 0.6464
1428.5700 0.0032 -0.3052 0.6519 -0.6942
1571.4270 0.0026 0.5513 -0.3883 -0.7385
1714.2840 0.0042 0.1256 0.9886 0.0833
1857.1410 0.0013 -0.8458 0.1789 -0.5026
1999.9980 0.0008 -0.5754 0.8015 -0.1632
2142.8550 0.0019 0.9158 0.3020 0.2648
2285.7120 0.0032 -0.9899 0.1342 0.0451
2428.5690 0.0045 0.3491 0.5404 -0.7656
2571.4260 0.0035 -0.4537 -0.3944 -0.7991
2714.2830 0.0070 -0.0259 -0.4983 -0.8666
2857.1400 0.0028 0.7618 0.6204 0.1864
2999.9970 0.0012 0.2312 -0.9590 -0.1640
3142.8540 0.0050 0.6635 -0.0748 -0.7444
3285.7110 0.0101 0.6424 0.4768 0.6001
3428.5680 0.0069 0.5070 0.7009 0.5016
3571.4250 0.0021 0.1959 0.7508 -0.6308
3714.2820 0.0199 -0.8532 -0.5168 -0.0708
3857.1390 0.0309 0.7028 0.4744 0.5300
3999.9960 0.0212 -0.4289 -0.0785 0.8999
4142.8530 0.0469 0.8250 0.0876 -0.5582
4285.7100 0.0854 0.5680 0.0866 -0.8184
4428.5670 0.0300 0.7161 0.1784 -0.6748
4571.4240 0.0622 0.2210 0.1234 -0.9674
4714.2810 0.0917 0.9832 0.0687 0.1691
4857.1380 0.0891 0.9411 0.1711 -0.2917
4999.9950 0.0830 0.8233 0.1612 -0.5443
5142.8520 0.0775 0.6687 0.2768 -0.6901
5285.7090 0.0888 0.7865 0.0992 -0.6095
5428.5660 0.0428 0.7707 -0.0619 -0.6342
5571.4230 0.0760 0.7139 0.2035 -0.6700
5714.2800 0.0514 0.7146 0.0842 -0.6945
5857.1370 0.0161 0.2584 0.9630 -0.0759
5999.9940 0.1317 -0.7095 -0.1677 -0.6845
6142.8510 0.2861 0.4315 0.1192 -0.8942
6285.7080 0.1074 0.4344 0.1659 -0.8853
6428.5650 0.2039 0.6173 0.2394 -0.7494
6571.4220 0.0947 0.7472 0.2685 -0.6079
6714.2790 0.1266 0.7456 0.2133 -0.6313
6857.1360 0.0881 0.2548 0.1429 -0.9564
6999.9930 0.1479 0.7891 0.2665 -0.5534
7142.8500 0.1872 0.7185 0.2269 -0.6574
7285.7070 0.1582 0.8893 0.2006 -0.4111
7428.5640 0.1483 -0.2000 0.0852 -0.9761
7571.4210 0.1605 0.7529 0.2438 -0.6113
7714.2780 0.2067 0.4492 0.1770 -0.8757
7857.1350 0.1833 0.6433 0.2496 -0.7238
7999.9920 0.2653 0.5399 0.2176 -0.8131
8142.8490 0.0930 0.9706 0.1827 -0.1569
8285.7060 0.2209 0.7935 0.2555 -0.5524
8428.5630 0.1631 0.8133 0.1987 -0.5468
8571.4200 0.1298 0.2805 0.1563 -0.9470
8714.2770 0.1599 0.3040 0.2275 -0.9251
8857.1340 0.1603 0.6373 0.2341 -0.7341
8999.9910 0.1311 0.8394 0.1948 -0.5074
9142.8480 0.1400 0.6157 0.2384 -0.7511
9285.7050 0.1533 0.6586 0.2420 -0.7125
9428.5620 0.1515 0.8543 0.1830 -0.4865
9571.4190 0.2028 0.7115 0.2264 -0.6652
9714.2760 0.0968 0.5915 0.2298 -0.7729
9857.1330 0.1367 0.8760 0.1148 -0.4684
9999.9900 0.2152 0.1766 0.1781 -0.9680
10142.8470 0.1660 0.7544 0.1799 -0.6313
10285.7040 0.1662 0.7852 0.1581 -0.5987
10428.5610 0.1788 0.5529 0.1972 -0.8096
10571.4180 0.2102 0.4672 0.2419 -0.8504
10714.2750 0.1514 0.0972 0.1870 -0.9775
10857.1320 0.0580 0.6355 0.2259 -0.7383
10999.9890 0.1539 0.8581 0.1790 -0.4813
11142.8460 0.2236 0.7180 0.1196 -0.6857
11285.7030 0.2699 0.6000 0.1834 -0.7787
11428.5600 0.2094 0.7039 0.1883 -0.6849
