#t, spin, Lx, Ly, Lz
0.0000 0.0068 -0.5566 -0.3282 -0.7632
142.8570 0.0070 -0.0334 -0.5926 -0.8048
285.7140 0.0057 0.0027 -0.6702 -0.7421
428.5710 0.0082 -0.2099 -0.9085 -0.3614
571.4280 0.0064 -0.2021 -0.5665 0.7989
714.2850 0.0061 -0.9636 0.2440 -0.1089
857.1420 0.0029 -0.6927 0.1741 -0.6999
999.9990 0.0036 -0.6377 -0.6476 -0.4171
1142.8560 0.0068 -0.3695 0.4812 -0.7949
1285.7130 0.0057 -0.9430 0.0695 -0.3256
1428.5700 0.0079 -0.9610 -0.2762 -0.0102
1571.4270 0.0089 -0.7163 0.1631 0.6785
1714.2840 0.0058 -0.7362 0.6207 -0.2699
1857.1410 0.0104 -0.6144 -0.3697 0.6970
1999.9980 0.0163 -0.5735 -0.1691 0.8016
2142.8550 0.0028 -0.6956 -0.2214 0.6835
2285.7120 0.0120 -0.1102 0.0817 -0.9905
2428.5690 0.0192 -0.2660 -0.7353 -0.6234
2571.4260 0.0114 -0.2719 -0.5396 -0.7968
2714.2830 0.0231 -0.4969 -0.4613 -0.7350
2857.1400 0.0090 -0.1194 0.0649 -0.9907
2999.9970 0.0069 -0.1689 -0.6192 0.7669
3142.8540 0.0087 -0.9503 0.1896 -0.2470
3285.7110 0.0117 -0.7173 -0.0146 -0.6966
3428.5680 0.0026 -0.7713 -0.1316 0.6227
3571.4250 0.0117 -0.1073 0.7136 -0.6923
3714.2820 0.0101 -0.1842 -0.9265 -0.3281
3857.1390 0.0072 0.5021 -0.3674 -0.7829
3999.9960 0.0449 -0.9269 0.0089 0.3752
4142.8530 0.0484 0.5796 0.1551 -0.8000
4285.7100 0.1225 0.7425 0.0797 -0.6651
4428.5670 0.1872 0.8552 0.0333 -0.5173
4571.4240 0.0314 0.1798 0.4217 -0.8887
4714.2810 0.1632 0.9116 -0.3936 -0.1184
4857.1380 0.1685 0.6098 0.1760 -0.7728
4999.9950 0.1753 0.7349 -0.1358 -0.6645
5142.8520 0.1534 0.4167 0.9021 -0.1119
5285.7090 0.2197 0.5390 -0.0445 -0.8411
5428.5660 0.0457 0.7628 0.4258 -0.4867
5571.4230 0.0993 0.5828 0.7177 -0.3812
5714.2800 0.2260 0.7765 0.5902 -0.2209
5857.1370 0.5317 0.5232 0.2257 -0.8218
5999.9940 0.3454 0.4888 0.1581 -0.8580
6142.8510 0.2774 -0.0833 -0.0633 -0.9945
6285.7080 0.3743 0.9243 0.3748 0.0712
6428.5650 0.4268 0.3873 0.0977 -0.9168
6571.4220 0.3077 -0.1678 -0.0369 -0.9851
6714.2790 0.0856 -0.8115 -0.1008 -0.5756
6857.1360 0.3571 0.7942 0.4338 -0.4255
6999.9930 0.4207 0.7603 0.3253 -0.5623
7142.8500 0.2731 -0.5150 -0.1070 -0.8505
7285.7070 0.2716 0.7927 0.1833 -0.5813
7428.5640 0.1072 -0.2380 -0.0640 0.9692
7571.4210 0.4800 0.7778 0.3708 0.5075
7714.2780 0.1557 0.9170 0.3569 0.1781
7857.1350 0.3113 0.3900 0.1083 -0.9144
7999.9920 0.2598 0.8967 0.4148 -0.1544
8142.8490 0.0908 -0.3120 -0.7860 -0.5337
8285.7060 0.2530 0.3720 0.3880 -0.8433
8428.5630 0.2161 -0.4100 -0.0485 0.9108
8571.4200 0.4089 0.3950 0.3611 -0.8447
8714.2770 0.4093 0.7933 0.5231 0.3115
8857.1340 0.2008 0.2882 -0.3428 -0.8941
8999.9910 0.1032 -0.4217 0.2356 -0.8756
9142.8480 0.0993 0.2656 0.2124 0.9404
9285.7050 0.3638 -0.8999 -0.3055 -0.3111
9428.5620 0.2171 -0.2880 0.5964 -0.7492
9571.4190 0.2770 0.3384 0.5858 -0.7365
9714.2760 0.3364 0.6774 0.2732 -0.6830
9857.1330 0.2533 0.4032 0.3923 0.8268
9999.9900 0.1014 0.4341 0.1332 -0.8909
10142.8470 0.4053 0.8197 0.4019 0.4082
10285.7040 0.0381 0.7924 -0.1780 -0.5834
10428.5610 0.1240 0.7277 0.6643 0.1709
10571.4180 0.0577 -0.2473 -0.2416 -0.9383
10714.2750 0.0617 0.8688 0.1503 -0.4717
10857.1320 0.2893 0.5155 0.4019 -0.7568
10999.9890 0.0311 -0.5533 -0.7440 -0.3746
11142.8460 0.0598 0.4182 -0.1035 -0.9024
11285.7030 0.0756 0.7649 0.1192 -0.6330
11428.5600 0.2314 0.8818 0.4710 0.0230
