#t, spin, Lx, Ly, Lz
0.0000 nan nan nan nan
142.8570 nan nan nan nan
285.7140 nan nan nan nan
428.5710 nan nan nan nan
571.4280 nan nan nan nan
714.2850 0.0000 nan nan nan
857.1420 nan nan nan nan
999.9990 0.0000 nan nan nan
1142.8560 0.0000 nan nan nan
1285.7130 0.0000 nan nan nan
1428.5700 nan nan nan nan
1571.4270 nan nan nan nan
1714.2840 nan nan nan nan
1857.1410 nan nan nan nan
1999.9980 nan nan nan nan
2142.8550 nan nan nan nan
2285.7120 0.0000 nan nan nan
2428.5690 7.8307 0.7029 0.3509 0.6187
2571.4260 11.3681 0.8168 0.4798 0.3203
2714.2830 nan nan nan nan
2857.1400 4.3711 -0.1308 -0.9844 0.1180
2999.9970 0.1272 0.7001 0.0022 -0.7140
3142.8540 0.1476 0.8583 0.4737 0.1975
3285.7110 0.2317 0.7341 0.1892 -0.6521
3428.5680 0.1185 0.4960 0.0668 -0.8657
3571.4250 0.1127 0.7160 0.2129 -0.6648
3714.2820 0.1201 0.8409 0.1336 -0.5244
3857.1390 0.1332 0.7946 0.1753 -0.5813
3999.9960 0.1445 0.8057 0.1767 -0.5654
4142.8530 0.1264 0.7764 0.1778 -0.6047
4285.7100 0.1166 0.8331 0.1751 -0.5246
4428.5670 0.1295 0.6533 0.2016 -0.7297
4571.4240 0.1315 0.7158 0.1600 -0.6797
4714.2810 0.0985 0.6155 0.2334 -0.7528
4857.1380 0.0918 0.5449 0.4508 -0.7070
4999.9950 0.1151 0.6639 0.2437 -0.7070
5142.8520 0.1071 0.7339 0.1258 -0.6675
5285.7090 0.0582 0.5642 0.3893 -0.7281
5428.5660 0.0745 0.3827 0.0410 -0.9230
5571.4230 0.0635 0.4777 0.1652 -0.8628
5714.2800 0.0473 0.3132 0.2944 -0.9029
5857.1370 0.0390 0.4906 0.1299 -0.8616
5999.9940 0.0465 0.3002 0.4961 -0.8147
6142.8510 0.0535 0.3797 0.2599 -0.8879
6285.7080 0.0449 0.4456 0.1960 -0.8735
6428.5650 0.0423 0.3962 0.2843 -0.8730
6571.4220 0.0452 0.3943 0.0668 -0.9165
6714.2790 0.0442 0.4157 0.2727 -0.8677
6857.1360 0.0464 0.4628 0.0833 -0.8825
6999.9930 0.0440 0.4477 0.2492 -0.8587
7142.8500 0.0478 0.3919 0.1688 -0.9044
7285.7070 0.0404 0.4079 0.1764 -0.8958
7428.5640 0.0471 0.2569 0.1501 -0.9547
7571.4210 0.0438 0.2772 0.2438 -0.9294
7714.2780 0.0385 0.3453 0.2033 -0.9162
7857.1350 0.0379 0.3176 0.2476 -0.9153
7999.9920 0.0389 0.3248 0.0650 -0.9436
8142.8490 0.0533 0.3532 0.2104 -0.9116
8285.7060 0.0414 0.3959 0.1476 -0.9063
8428.5630 0.0442 0.4596 0.0782 -0.8847
8571.4200 0.0461 0.4901 0.1089 -0.8648
8714.2770 0.0481 0.4440 0.1446 -0.8843
8857.1340 0.0441 0.3685 -0.0280 -0.9292
8999.9910 0.0426 0.4251 0.2704 -0.8638
9142.8480 0.0451 0.4641 0.1767 -0.8680
9285.7050 0.0412 0.2779 0.2409 -0.9299
9428.5620 0.0431 0.5243 0.0798 -0.8478
9571.4190 0.0419 0.3537 0.0871 -0.9313
9714.2760 0.0431 0.3731 -0.0238 -0.9275
9857.1330 0.0557 0.4598 0.0986 -0.8825
9999.9900 0.0535 0.4669 0.0581 -0.8824
10142.8470 0.0484 0.5517 0.1185 -0.8256
10285.7040 0.0436 0.5000 0.0842 -0.8619
10428.5610 0.0376 0.4804 -0.0223 -0.8768
10571.4180 0.0415 0.5059 -0.0084 -0.8626
10714.2750 0.0374 0.5971 -0.1060 -0.7951
10857.1320 0.0390 0.4872 0.1758 -0.8554
10999.9890 0.0379 0.5335 0.2652 -0.8031
11142.8460 0.0428 0.5263 -0.1085 -0.8434
11285.7030 0.0399 0.4964 0.0507 -0.8666
11428.5600 0.0433 0.5363 -0.0871 -0.8395
