#t, spin, Lx, Ly, Lz
0.0000 0.0047 -0.3928 0.5793 -0.7143
142.8570 0.0070 -0.5153 0.7622 -0.3917
285.7140 0.0086 0.5830 -0.6814 -0.4425
428.5710 0.0052 0.9681 0.0345 -0.2483
571.4280 0.0079 0.7378 0.0608 -0.6723
714.2850 0.0078 -0.7451 -0.0071 -0.6669
857.1420 0.0045 0.0354 -0.9382 -0.3443
999.9990 0.0030 -0.4638 -0.6494 -0.6027
1142.8560 0.0058 0.2965 -0.5546 0.7775
1285.7130 0.0042 -0.4149 -0.1391 -0.8992
1428.5700 0.0083 -0.7520 0.4390 0.4917
1571.4270 0.0064 0.8591 -0.5057 -0.0791
1714.2840 0.0091 0.0984 0.7708 -0.6295
1857.1410 0.0034 0.7585 0.6193 0.2027
1999.9980 0.0097 -0.8085 0.5749 0.1256
2142.8550 0.0030 0.3686 0.8738 -0.3172
2285.7120 0.0063 -0.6519 0.3002 -0.6964
2428.5690 0.0097 -0.0427 0.2926 -0.9553
2571.4260 0.0105 -0.5382 -0.0995 -0.8369
2714.2830 0.0141 0.1380 -0.6862 -0.7142
2857.1400 0.0081 0.9546 0.0886 -0.2843
2999.9970 0.0045 -0.3873 -0.8491 0.3591
3142.8540 0.0055 0.0720 -0.5525 -0.8304
3285.7110 0.0202 0.6418 0.4674 0.6080
3428.5680 0.0169 0.1147 0.6650 0.7380
3571.4250 0.0107 0.5211 0.1208 0.8449
3714.2820 0.0597 -0.8246 -0.5188 -0.2257
3857.1390 0.0890 0.8290 0.4393 0.3461
3999.9960 0.1471 0.8522 0.0954 -0.5144
4142.8530 0.3588 0.8492 0.0830 -0.5215
4285.7100 0.1346 0.5716 0.2388 -0.7850
4428.5670 0.0837 0.6643 0.3105 -0.6799
4571.4240 0.1700 0.4343 0.4014 -0.8064
4714.2810 0.2700 0.9266 -0.3698 -0.0676
4857.1380 0.0846 0.7368 -0.0741 0.6721
4999.9950 0.0062 0.5243 -0.5761 -0.6271
5142.8520 0.1060 0.1080 0.6928 -0.7130
5285.7090 0.0092 0.0772 -0.1612 -0.9839
5428.5660 0.0062 0.6284 -0.1868 -0.7551
5571.4230 0.0048 0.5771 -0.6098 -0.5433
5714.2800 0.0693 0.3459 0.1797 -0.9209
5857.1370 0.0410 0.2799 -0.4947 0.8227
5999.9940 0.4521 -0.9112 -0.4049 -0.0760
6142.8510 0.3872 0.2986 0.0821 -0.9509
6285.7080 0.1676 -0.5120 -0.1902 0.8377
6428.5650 0.2728 0.7349 0.2663 -0.6237
6571.4220 0.1342 -0.1774 -0.1073 0.9783
6714.2790 0.0567 0.4118 -0.0075 0.9112
6857.1360 0.2403 -0.8806 -0.3274 0.3426
6999.9930 0.0967 0.9890 0.0368 0.1435
7142.8500 0.1411 0.9636 0.2615 -0.0566
7285.7070 0.2398 0.7182 0.2380 0.6539
7428.5640 0.2422 -0.8333 -0.4828 -0.2693
7571.4210 0.1458 0.5800 -0.0262 0.8142
7714.2780 0.2728 0.4362 0.1806 -0.8816
7857.1350 0.2261 0.5268 0.2241 -0.8199
7999.9920 0.3628 0.5569 0.3091 -0.7709
8142.8490 0.1561 0.6923 0.1788 0.6992
8285.7060 0.2344 0.8353 0.4877 -0.2537
8428.5630 0.0766 0.8208 -0.2412 -0.5177
8571.4200 0.1546 -0.7428 0.0702 -0.6658
8714.2770 0.1933 -0.0969 -0.1096 -0.9892
8857.1340 0.2054 0.8757 -0.1795 -0.4483
8999.9910 0.0717 0.7578 -0.5629 0.3299
9142.8480 0.0825 -0.0269 0.7566 0.6533
9285.7050 0.2129 0.5552 0.2034 -0.8065
9428.5620 0.1814 0.9229 0.0134 0.3848
9571.4190 0.1710 0.9061 0.3463 -0.2431
9714.2760 0.0808 0.1532 -0.0349 -0.9876
9857.1330 0.1965 0.9575 -0.0719 0.2795
9999.9900 0.2833 -0.1966 0.0581 -0.9788
10142.8470 0.1672 0.9253 0.1933 -0.3264
10285.7040 0.1620 0.9550 -0.2365 0.1790
10428.5610 0.1143 0.4430 -0.0329 -0.8959
10571.4180 0.3447 0.1604 0.1267 -0.9789
10714.2750 0.1764 -0.2676 0.0744 -0.9607
10857.1320 0.0785 -0.5576 -0.0746 0.8267
10999.9890 0.0960 0.9708 -0.2374 0.0335
11142.8460 0.1670 0.7536 0.1882 -0.6299
11285.7030 0.3915 0.5534 0.3697 -0.7464
11428.5600 0.2442 0.6836 0.1476 -0.7148
