#t, r200_velANI, qr200_velANI
0.0000 -0.0212 -0.0428
142.8570 -0.0034 0.0019
285.7140 0.0002 -0.0066
428.5710 -0.0188 -0.0174
571.4280 0.0174 0.0035
714.2850 0.0223 0.0202
857.1420 0.0170 0.0238
999.9990 0.0135 0.0016
1142.8560 0.0178 -0.0078
1285.7130 0.0161 0.0055
1428.5700 0.0418 0.0194
1571.4270 0.0558 0.0287
1714.2840 0.0182 -0.0272
1857.1410 0.0335 -0.0357
1999.9980 0.0431 0.0109
2142.8550 0.0078 -0.0168
2285.7120 0.0146 -0.0255
2428.5690 -0.0134 -0.0201
2571.4260 0.0119 -0.0001
2714.2830 0.0031 -0.0146
2857.1400 0.0058 -0.0095
2999.9970 0.0071 0.0138
3142.8540 0.0098 -0.0083
3285.7110 0.0170 0.0427
3428.5680 -0.0027 0.0068
3571.4250 -0.0239 -0.0127
3714.2820 0.0187 0.0237
3857.1390 0.0674 0.0065
3999.9960 0.0950 0.0515
4142.8530 -0.0541 -0.0178
4285.7100 0.0774 0.0361
4428.5670 0.1706 0.0356
4571.4240 0.3182 -0.0220
4714.2810 0.2806 0.0250
4857.1380 0.2590 0.0557
4999.9950 0.1995 -0.0289
5142.8520 0.2160 0.0072
5285.7090 0.1230 -0.0084
5428.5660 0.1673 0.0177
5571.4230 0.0904 -0.0110
5714.2800 0.1336 0.0131
5857.1370 0.0405 -0.1361
5999.9940 0.1902 0.0293
6142.8510 0.0413 0.0759
6285.7080 0.1105 -0.1158
6428.5650 -0.0743 -0.1248
6571.4220 0.0315 -0.0983
6714.2790 0.0122 0.0096
6857.1360 -0.0669 0.0607
6999.9930 -0.0992 -0.0150
7142.8500 0.0125 0.0708
7285.7070 0.0491 -0.0996
7428.5640 -0.0372 -0.0627
7571.4210 -0.0516 -0.1576
7714.2780 -0.0265 0.0088
7857.1350 -0.1215 -0.1224
7999.9920 -0.0743 -0.1028
8142.8490 -0.0255 0.1076
8285.7060 -0.0117 -0.1810
8428.5630 0.0435 -0.1590
8571.4200 -0.1189 -0.1942
8714.2770 -0.0633 -0.0286
8857.1340 -0.0481 -0.1388
8999.9910 0.1075 0.0593
9142.8480 -0.0291 0.0363
9285.7050 -0.0559 -0.1252
9428.5620 0.0340 0.0492
9571.4190 -0.0830 0.0150
9714.2760 -0.0309 -0.0817
9857.1330 0.0000 0.0454
9999.9900 0.0919 0.0283
10142.8470 -0.1183 0.0423
10285.7040 0.0711 0.0040
10428.5610 0.0285 -0.0181
10571.4180 0.0542 0.0027
10714.2750 0.0647 -0.0472
10857.1320 -0.1990 0.0118
10999.9890 0.0566 0.0023
11142.8460 0.0779 0.0002
11285.7030 0.0782 0.0754
11428.5600 -0.0238 -0.0483
