#t, r200_velANI, qr200_velANI
0.0000 nan nan
142.8570 nan nan
285.7140 nan nan
428.5710 nan nan
571.4280 nan nan
714.2850 0.5873 nan
857.1420 nan nan
999.9990 0.6079 nan
1142.8560 -0.0729 nan
1285.7130 0.5927 nan
1428.5700 nan nan
1571.4270 0.3509 nan
1714.2840 nan nan
1857.1410 nan nan
1999.9980 nan nan
2142.8550 nan nan
2285.7120 0.2060 nan
2428.5690 -0.1062 0.1435
2571.4260 -0.0162 0.2951
2714.2830 nan nan
2857.1400 -0.0705 -1.1885
2999.9970 0.3047 0.0022
3142.8540 0.4547 0.1477
3285.7110 0.2676 0.1341
3428.5680 0.2856 0.1562
3571.4250 0.2984 0.1902
3714.2820 0.3281 0.2698
3857.1390 0.2423 0.2909
3999.9960 0.0416 0.0792
4142.8530 0.1696 0.2439
4285.7100 0.2816 0.2369
4428.5670 0.3297 0.1593
4571.4240 0.3348 0.1108
4714.2810 0.3082 0.0613
4857.1380 0.2837 0.0823
4999.9950 0.2532 0.0501
5142.8520 0.1470 0.0116
5285.7090 0.1736 0.0865
5428.5660 0.1021 0.1413
5571.4230 0.0656 0.1525
5714.2800 0.0717 0.1660
5857.1370 -0.0484 -0.0290
5999.9940 0.0862 0.2013
6142.8510 0.1124 0.0917
6285.7080 0.1095 0.0443
6428.5650 0.1048 0.0556
6571.4220 0.0800 0.0193
6714.2790 0.1031 0.0705
6857.1360 0.0935 0.0931
6999.9930 0.0815 0.1022
7142.8500 0.0788 0.0774
7285.7070 0.0833 0.1036
7428.5640 0.0832 0.0997
7571.4210 0.1020 0.1279
7714.2780 0.1043 0.1127
7857.1350 0.0813 0.1037
7999.9920 0.0835 0.0885
8142.8490 0.0762 0.0910
8285.7060 0.1092 0.1041
8428.5630 0.0903 0.0757
8571.4200 0.0953 0.0761
8714.2770 0.1007 0.0799
8857.1340 0.0886 0.0573
8999.9910 0.1141 0.0904
9142.8480 0.1070 0.0859
9285.7050 0.1285 0.1206
9428.5620 0.1175 0.0967
9571.4190 0.1132 0.0933
9714.2760 0.1293 0.1123
9857.1330 0.0970 0.0468
9999.9900 0.1151 0.0930
10142.8470 0.1224 0.0871
10285.7040 0.1044 0.0541
10428.5610 0.1046 0.0622
10571.4180 0.1128 0.0882
10714.2750 0.1049 0.0521
10857.1320 0.1052 0.0933
10999.9890 0.0971 0.0722
11142.8460 0.1057 0.0771
11285.7030 0.1116 0.0906
11428.5600 0.0914 0.0478
