#t, r200_velANI, qr200_velANI
0.0000 0.0083 0.0009
142.8570 -0.0054 -0.0128
285.7140 0.0082 0.0044
428.5710 0.0020 0.0054
571.4280 -0.0008 0.0096
714.2850 -0.0242 -0.0224
857.1420 0.0066 0.0129
999.9990 0.0196 0.0380
1142.8560 -0.0085 0.0035
1285.7130 -0.0049 0.0072
1428.5700 -0.0210 -0.0615
1571.4270 0.0314 0.0276
1714.2840 -0.0224 -0.0184
1857.1410 0.0158 0.0150
1999.9980 0.0071 0.0068
2142.8550 0.0066 -0.0010
2285.7120 -0.0011 0.0001
2428.5690 -0.0057 -0.0220
2571.4260 -0.0055 0.0138
2714.2830 0.0030 0.0205
2857.1400 0.0065 -0.0025
2999.9970 0.0051 0.0323
3142.8540 -0.0100 -0.0286
3285.7110 -0.0101 -0.0124
3428.5680 -0.0205 -0.0394
3571.4250 -0.0227 -0.0133
3714.2820 -0.0336 -0.0629
3857.1390 0.0156 -0.0332
3999.9960 0.1572 -0.1086
4142.8530 0.0441 -0.1772
4285.7100 0.1478 0.1294
4428.5670 0.3173 0.0885
4571.4240 0.2612 0.0200
4714.2810 0.2480 0.0549
4857.1380 0.2604 0.0298
4999.9950 0.2309 -0.0212
5142.8520 0.1871 -0.0189
5285.7090 0.0864 -0.0365
5428.5660 0.1714 0.0819
5571.4230 0.0384 -0.0874
5714.2800 0.1236 -0.1094
5857.1370 0.1436 0.0758
5999.9940 -0.0399 0.0720
6142.8510 nan nan
6285.7080 0.1269 -0.0160
6428.5650 0.1241 -0.0415
6571.4220 0.0878 0.0195
6714.2790 0.0836 -0.0021
6857.1360 0.0871 -0.1829
6999.9930 0.0294 -0.0128
7142.8500 -0.0141 -0.1200
7285.7070 0.0039 0.0662
7428.5640 0.0055 0.0676
7571.4210 -0.0391 -0.1172
7714.2780 -0.0810 -0.1205
7857.1350 -0.0630 -0.1911
7999.9920 -0.1513 0.0007
8142.8490 0.0371 -0.0024
8285.7060 -0.0983 -0.0264
8428.5630 0.0116 -0.0203
8571.4200 -0.0296 0.0501
8714.2770 -0.0229 -0.0985
8857.1340 0.0895 0.0190
8999.9910 0.0583 -0.1258
9142.8480 0.0359 0.0085
9285.7050 0.0176 0.0506
9428.5620 0.0402 -0.0091
9571.4190 0.0064 0.0951
9714.2760 0.1538 0.1110
9857.1330 0.0701 0.0339
9999.9900 -0.0609 -0.0378
10142.8470 0.0268 0.0849
10285.7040 0.0117 -0.0527
10428.5610 0.0218 0.0103
10571.4180 -0.0646 -0.0806
10714.2750 0.0342 0.1079
10857.1320 0.0400 0.0205
10999.9890 0.0225 -0.0858
11142.8460 0.0033 -0.0408
11285.7030 -0.1060 -0.1159
11428.5600 -0.0285 -0.0760
